Designator,Mid X,Mid Y,Rotation,Layer
C1,60.45,-135.955,0.0,top
C10,60.45,-113.955,180.0,bottom
C11,60.45,-115.955,0.0,top
C12,60.45,-109.955,180.0,bottom
C13,60.45,-111.955,0.0,top
C14,60.45,-105.955,180.0,bottom
C15,60.45,-107.955,0.0,top
C16,60.45,-101.955,180.0,bottom
C17,60.45,-103.955,0.0,top
C18,41.775,-88.89,0.0,top
C19,41.775,-88.89,180.0,bottom
C2,60.45,-129.955,180.0,bottom
C20,41.775,-92.89,0.0,top
C21,41.775,-92.89,180.0,bottom
C22,41.775,-96.89,0.0,top
C23,41.775,-96.89,180.0,bottom
C24,41.775,-100.89,0.0,top
C25,41.775,-100.89,180.0,bottom
C26,41.775,-104.89,0.0,top
C27,41.775,-104.89,180.0,bottom
C28,41.775,-108.89,0.0,top
C29,41.775,-108.89,180.0,bottom
C3,60.45,-131.955,0.0,top
C30,41.775,-112.89,0.0,top
C31,41.775,-112.89,180.0,bottom
C32,41.775,-116.89,0.0,top
C33,41.775,-116.89,180.0,bottom
C34,41.775,-120.89,0.0,top
C35,84.4095,-95.1,0.0,top
C36,84.4095,-93.1,180.0,bottom
C37,84.4095,-99.1,0.0,top
C38,84.4095,-97.1,180.0,bottom
C39,84.4095,-103.1,0.0,top
C4,60.45,-125.955,180.0,bottom
C40,84.4095,-101.1,180.0,bottom
C41,84.4095,-107.1,0.0,top
C42,84.4095,-105.1,180.0,bottom
C43,84.4095,-115.45,0.0,top
C44,84.4095,-113.45,180.0,bottom
C45,84.4095,-119.45,0.0,top
C46,84.4095,-117.45,180.0,bottom
C47,84.4095,-123.45,0.0,top
C48,84.4095,-121.45,180.0,bottom
C49,84.4095,-127.45,0.0,top
C5,60.45,-127.955,0.0,top
C50,84.4095,-125.45,180.0,bottom
C51,84.4095,-134.45,0.0,top
C6,60.45,-121.955,180.0,bottom
C7,60.45,-123.955,0.0,top
C8,60.45,-117.955,180.0,bottom
C9,60.45,-119.955,0.0,top
J1,49.225,-136.89,180.0,bottom
J2,65.125,-88.64,0.0,top
J3,35.875,-136.89,180.0,top
J4,78.4095,-136.89,180.0,top
J5,96.3095,-100.1,270.0,bottom
J6,96.3095,-120.45,270.0,bottom
J7,58.45,-90.13,180.0,top
J8,96.3095,-133.08,270.0,bottom
R1,60.45,-133.955,0.0,top
R10,56.45,-125.955,0.0,top
R100,88.4095,-127.45,180.0,bottom
R101,84.4095,-132.45,0.0,top
R102,88.4095,-132.45,0.0,top
R11,60.45,-123.955,180.0,bottom
R12,56.45,-123.955,180.0,bottom
R13,60.45,-121.955,0.0,top
R14,56.45,-121.955,0.0,top
R15,60.45,-119.955,180.0,bottom
R16,56.45,-119.955,180.0,bottom
R17,60.45,-117.955,0.0,top
R18,56.45,-117.955,0.0,top
R19,60.45,-115.955,180.0,bottom
R2,56.45,-133.955,0.0,top
R20,56.45,-115.955,180.0,bottom
R21,60.45,-113.955,0.0,top
R22,56.45,-113.955,0.0,top
R23,60.45,-111.955,180.0,bottom
R24,56.45,-111.955,180.0,bottom
R25,60.45,-109.955,0.0,top
R26,56.45,-109.955,0.0,top
R27,60.45,-107.955,180.0,bottom
R28,56.45,-107.955,180.0,bottom
R29,60.45,-105.955,0.0,top
R3,60.45,-131.955,180.0,bottom
R30,56.45,-105.955,0.0,top
R31,60.45,-103.955,180.0,bottom
R32,56.45,-103.955,180.0,bottom
R33,60.45,-101.955,0.0,top
R34,56.45,-101.955,0.0,top
R35,41.775,-86.89,0.0,top
R36,45.775,-88.89,0.0,top
R37,41.775,-90.89,180.0,bottom
R38,45.775,-90.89,180.0,bottom
R39,41.775,-90.89,0.0,top
R4,56.45,-131.955,180.0,bottom
R40,45.775,-92.89,0.0,top
R41,41.775,-94.89,180.0,bottom
R42,45.775,-94.89,180.0,bottom
R43,41.775,-94.89,0.0,top
R44,45.775,-96.89,0.0,top
R45,41.775,-98.89,180.0,bottom
R46,45.775,-98.89,180.0,bottom
R47,41.775,-98.89,0.0,top
R48,45.775,-100.89,0.0,top
R49,41.775,-102.89,180.0,bottom
R5,60.45,-129.955,0.0,top
R50,45.775,-102.89,180.0,bottom
R51,41.775,-102.89,0.0,top
R52,45.775,-104.89,0.0,top
R53,41.775,-106.89,180.0,bottom
R54,45.775,-106.89,180.0,bottom
R55,41.775,-106.89,0.0,top
R56,45.775,-108.89,0.0,top
R57,41.775,-110.89,180.0,bottom
R58,45.775,-110.89,180.0,bottom
R59,41.775,-110.89,0.0,top
R6,56.45,-129.955,0.0,top
R60,45.775,-112.89,0.0,top
R61,41.775,-114.89,180.0,bottom
R62,45.775,-114.89,180.0,bottom
R63,41.775,-114.89,0.0,top
R64,45.775,-116.89,0.0,top
R65,41.775,-118.89,180.0,bottom
R66,45.775,-118.89,180.0,bottom
R67,41.775,-118.89,0.0,top
R68,45.775,-120.89,0.0,top
R69,84.4095,-93.1,0.0,top
R7,60.45,-127.955,180.0,bottom
R70,88.4095,-93.1,0.0,top
R71,84.4095,-95.1,180.0,bottom
R72,88.4095,-95.1,180.0,bottom
R73,84.4095,-97.1,0.0,top
R74,88.4095,-97.1,0.0,top
R75,84.4095,-99.1,180.0,bottom
R76,88.4095,-99.1,180.0,bottom
R77,84.4095,-101.1,0.0,top
R78,88.4095,-101.1,0.0,top
R79,84.4095,-103.1,180.0,bottom
R8,56.45,-127.955,180.0,bottom
R80,88.4095,-103.1,180.0,bottom
R81,84.4095,-105.1,0.0,top
R82,88.4095,-105.1,0.0,top
R83,84.4095,-107.1,180.0,bottom
R84,88.4095,-107.1,180.0,bottom
R85,84.4095,-113.45,0.0,top
R86,88.4095,-113.45,0.0,top
R87,84.4095,-115.45,180.0,bottom
R88,88.4095,-115.45,180.0,bottom
R89,84.4095,-117.45,0.0,top
R9,60.45,-125.955,0.0,top
R90,88.4095,-117.45,0.0,top
R91,84.4095,-119.45,180.0,bottom
R92,88.4095,-119.45,180.0,bottom
R93,84.4095,-121.45,0.0,top
R94,88.4095,-121.45,0.0,top
R95,84.4095,-123.45,180.0,bottom
R96,88.4095,-123.45,180.0,bottom
R97,84.4095,-125.45,0.0,top
R98,88.4095,-125.45,0.0,top
R99,84.4095,-127.45,180.0,bottom
mouse-bite-2mm-slot_5,72.0,-112.765,270.0,top
mouse-bite-2mm-slot_4,72.0,-122.765,270.0,top
mouse-bite-2mm-slot_3,72.0,-132.765,270.0,top
mouse-bite-2mm-slot_2,72.0,-102.765,270.0,top
mouse-bite-2mm-slot,72.0,-92.765,270.0,top
